district,latitude,longitude,area_sq_km,elevation_m,terrain_relief_m
Achham,29.112577,81.298783,1705.6,1754.0,616.0
Arghakhanchi,27.908382,83.081396,1243.85,1853.0,963.0
Baglung,28.347325,83.252448,1843.32,2097.0,1550.0
Baitadi,29.507517,80.573207,1498.53,1565.0,543.0
Bajhang,29.708172,81.180534,3470.88,3863.0,2513.0
Bajura,29.56121,81.565147,2307.03,3895.0,2046.0
Banke,28.086973,81.824185,1886.48,178.0,124.0
Bara,27.107692,85.072904,1277.31,114.0,64.0
Bardiya,28.383594,81.403246,2008.63,197.0,222.0
Bhaktapur,27.677381,85.442986,123.13,1342.0,547.0
Bhojpur,27.181503,87.070366,1530.07,1458.0,318.0
Chitawan,27.584716,84.436628,2247.91,198.0,192.0
Dadeldhura,29.223054,80.490707,1507.04,1820.0,1203.0
Dailekh,28.879589,81.68147,1479.55,946.0,547.0
Dang,27.963968,82.41231,3014.79,851.0,624.0
Darchula,29.891945,80.793678,2347.81,3943.0,2377.0
Dhading,27.95037,84.960068,1892.45,754.0,556.0
Dhankuta,26.990473,87.333427,902.79,1313.0,840.0
Dhanusa,26.828625,86.036237,1192.69,103.0,76.0
Dolakha,27.785351,86.200955,2154.64,1347.0,1587.0
Dolpa,29.170532,83.054034,7972.55,4508.0,931.0
Doti,29.169577,80.896228,2058.61,1772.0,1625.0
Gorkha,28.318271,84.792781,3656.2,3684.0,2651.0
Gulmi,28.093714,83.309075,1111.72,1154.0,370.0
Humla,30.032323,81.881625,6028.78,4759.0,2400.0
Ilam,26.880835,87.904137,1692.02,640.0,1181.0
Jajarkot,28.865285,82.169631,2229.95,1556.0,1747.0
Jhapa,26.584175,87.915806,1610.21,99.0,46.0
Jumla,29.271699,82.219126,2563.26,2523.0,1341.0
Kailali,28.741592,80.880841,3297.98,226.0,281.0
Kalikot,29.194442,81.752575,1656.0,3551.0,2020.0
Kanchanpur,28.861736,80.323295,1624.09,208.0,47.0
Kapilbastu,27.627685,82.983453,1656.76,104.0,35.0
Kaski,28.354762,83.999473,2094.06,1637.0,1118.0
Kathmandu,27.727985,85.349652,415.64,1309.0,971.0
Kavrepalanchok,27.535823,85.621971,1397.95,1444.0,1209.0
Khotang,27.167788,86.789494,1595.94,893.0,1215.0
Lalitpur,27.538177,85.344818,397.01,1963.0,1139.0
Lamjung,28.288949,84.432311,1669.36,2308.0,1718.0
Mahottari,26.878946,85.822202,1004.92,105.0,73.0
Makwanpur,27.4694,85.082315,2459.34,985.0,1116.0
Manang,28.672683,84.226772,2330.62,3551.0,2258.0
Morang,26.61711,87.472729,1830.38,114.0,118.0
Mugu,29.618007,82.372416,3241.43,3930.0,1792.0
Mustang,28.981162,83.859906,3577.76,3316.0,1888.0
Myagdi,28.552984,83.461954,2293.97,3330.0,3381.0
Nawalparasi,27.633511,83.955223,2160.14,182.0,262.0
Nuwakot,27.914847,85.237692,1197.91,916.0,998.0
Okhaldhunga,27.329197,86.421085,1080.38,975.0,1478.0
Palpa,27.817136,83.625704,1468.29,755.0,797.0
Panchthar,27.114724,87.778392,1252.89,1940.0,937.0
Parbat,28.211013,83.680862,543.16,725.0,964.0
Parsa,27.239543,84.782291,1412.25,158.0,134.0
Pyuthan,28.115284,82.867007,1325.79,846.0,794.0
Ramechhap,27.513347,86.179767,1570.07,1539.0,1062.0
Rasuwa,28.184688,85.41464,1528.33,4344.0,2822.0
Rautahat,27.001666,85.304584,1040.19,93.0,34.0
Rolpa,28.343979,82.630031,1892.21,1386.0,1212.0
Rukum,28.701123,82.665748,2908.02,2547.0,620.0
Rupandehi,27.57651,83.391559,1309.82,110.0,23.0
Salyan,28.396337,82.140594,1943.65,1413.0,721.0
Sankhuwasabha,27.581748,87.28073,3484.19,1291.0,1643.0
Saptari,26.59784,86.748597,1286.09,103.0,250.0
Sarlahi,26.985855,85.567449,1269.22,105.0,42.0
Sindhuli,27.201127,85.946532,2491.64,540.0,787.0
Sindhupalchok,27.91462,85.741847,2498.42,2114.0,1717.0
Siraha,26.746118,86.34478,1143.52,116.0,75.0
Solukhumbu,27.710218,86.722926,3366.85,3144.0,1882.0
Sunsari,26.650283,87.172487,1197.25,93.0,22.0
Surkhet,28.641059,81.588142,2495.6,1330.0,612.0
Syangja,28.020968,83.805249,1041.94,1291.0,937.0
Tanahu,27.955148,84.253279,1578.43,651.0,199.0
Taplejung,27.581791,87.8244,3645.88,3695.0,1466.0
Terhathum,27.153973,87.551481,673.05,1099.0,1640.0
Udayapur,26.902758,86.683622,2306.45,1037.0,610.0
