district,households_2011,population_2011
Achham,48351,257477
Arghakhanchi,46835,197632
Baglung,61522,268613
Baitadi,45191,250898
Bajhang,33786,195159
Bajura,24908,134912
Banke,94773,491313
Bara,108635,687708
Bardiya,83176,426576
Bhaktapur,68636,304651
Bhojpur,39419,182459
Chitawan,132462,579984
Dadeldhura,27045,142094
Dailekh,48919,261770
Dang,116415,552583
Darchula,24618,133274
Dhading,73851,336067
Dhankuta,37637,163412
Dhanusa,138249,754777
Dolakha,45688,186557
Dolpa,7488,36700
Doti,41440,211746
Gorkha,66506,271061
Gulmi,64921,280160
Humla,9479,50858
Ilam,64502,290254
Jajarkot,30472,171304
Jhapa,184552,812650
Jumla,19303,108921
Kailali,142480,775709
Kalikot,23013,136948
Kanchanpur,82152,451248
Kapilbastu,91321,571936
Kaski,125673,492098
Kathmandu,436344,1744240
Kavrepalanchok,80720,381937
Khotang,42664,206312
Lalitpur,109797,468132
Lamjung,42079,167724
Mahottari,111316,627580
Makwanpur,86127,420477
Manang,1480,6538
Morang,213997,965370
Mugu,9619,55286
Mustang,3354,13452
Myagdi,27762,113641
Nawalparasi,128793,643508
Nuwakot,59215,277471
Okhaldhunga,32502,147984
Palpa,59291,261180
Panchthar,41196,191817
Parbat,35719,146590
Parsa,95536,601017
Pyuthan,47730,228102
Ramechhap,43910,202646
Rasuwa,9778,43300
Rautahat,106668,686722
Rolpa,43757,224506
Rukum,41856,208567
Rupandehi,163916,880196
Salyan,46556,242444
Sankhuwasabha,34624,158742
Saptari,121098,639284
Sarlahi,132844,769729
Sindhuli,57581,296192
Sindhupalchok,66688,287798
Siraha,117962,637328
Solukhumbu,23785,105886
Sunsari,162407,763487
Surkhet,72863,350804
Syangja,68881,289148
Tanahu,78309,323288
Taplejung,26509,127461
Terhathum,22094,101577
Udayapur,66557,317532
