event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-e13fb0c1cd2660fde4b1,Government of Nepal BIPAD Portal,2014,5,24,Eastern Region,Udayapur,Rautamai,FLOOD,2,0,0,0,0,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-eb13dfd4cc95cf702b01,Government of Nepal BIPAD Portal,2014,6,4,Mid-Western Region,Kalikot,Pachaljharana,FLOOD,1,0,0,0,0,0,0,0.0,False,29.21559,81.74506,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9c133872457ac1c748ee,Government of Nepal BIPAD Portal,2014,6,7,Far Western Region,Bajura,Gaumul,FLOOD,3,0,1,0,11,120,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-2aa4768dd0ab06aff02b,Government of Nepal BIPAD Portal,2014,6,17,Central Region,Dolakha,Bigu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.82349,86.22218,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-3ab0d2e7c55160cad341,Government of Nepal BIPAD Portal,2014,6,18,Far Western Region,Baitadi,Surnaya,FLOOD,1,0,0,0,0,0,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-592822793e9d5af97d72,Government of Nepal BIPAD Portal,2014,6,18,Central Region,Mahottari,Aurahi,FLOOD,1,0,0,0,0,0,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-f8869dccd2b4578353e1,Government of Nepal BIPAD Portal,2014,6,19,Western Region,Gulmi,Resunga,FLOOD,0,0,0,0,0,0,0,0.0,False,28.09848,83.31058,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-58f96b0f8a3b8ccacf16,Government of Nepal BIPAD Portal,2014,6,21,Central Region,Bara,Jitpur Simara,FLOOD,2,0,0,0,0,0,0,0.0,False,27.10642,85.06984,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9ce5a3e633543c580fc5,Government of Nepal BIPAD Portal,2014,7,5,Mid-Western Region,Surkhet,Barahtal,FLOOD,0,2,0,0,0,0,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-d008c898fbc870868ab2,Government of Nepal BIPAD Portal,2014,7,7,Mid-Western Region,Banke,Rapti Sonari,FLOOD,1,0,0,0,0,0,0,0.0,False,28.09534,81.84765,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
