event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,basin_rainfall_1d_mean_mm,basin_rainfall_1d_max_mm,basin_rainfall_3d_mean_mm,basin_rainfall_3d_max_mm,basin_rainfall_7d_mean_mm,basin_rainfall_7d_max_mm,basin_rainfall_3d_spread_mm,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-e13fb0c1cd2660fde4b1,Government of Nepal BIPAD Portal,2014,5,24,Eastern Region,Udayapur,Rautamai,FLOOD,2,0,0,0,0,0,0,0.0,False,26.93279,86.66463,2306.45,1037.0,610.0,66557.0,317532.0,137.6713130568623,1.97,2.19,2.59,40.69,1.0,0.201,4060900840,14880.1,63141.5,641.4,3.0,1.3378,0.346,12.6,1.0,1312.0,729.0,2.022,3.18,3.196,4.92,9.22,15.24,1.724,True,True,False,True
episode-eb13dfd4cc95cf702b01,Government of Nepal BIPAD Portal,2014,6,4,Mid-Western Region,Kalikot,Pachaljharana,FLOOD,1,0,0,0,0,0,0,0.0,False,29.21559,81.74506,1656.0,3551.0,2020.0,23013.0,136948.0,82.69806763285024,0.3,0.6,14.05,41.11,4.0,0.551,4060799260,22731.7,22732.3,1612.2,3.0,0.9432,0.684,21.0,2.0,3169.0,828.0,0.505,1.54,0.695,1.9,13.055,15.31,1.205,True,True,False,True
episode-9c133872457ac1c748ee,Government of Nepal BIPAD Portal,2014,6,7,Far Western Region,Bajura,Gaumul,FLOOD,3,0,1,0,11,120,0,0.0,False,29.5579,81.49045,2307.03,3895.0,2046.0,24908.0,134912.0,58.47865003922792,0.25,0.27,5.96,37.51,1.0,0.386,4060799160,7395.8,7395.8,1612.2,4.0,1.4943,2.194,52.4,1.0,2897.0,502.0,0.25,0.25,0.27,0.27,5.96,5.96,0.0,True,True,False,True
episode-2aa4768dd0ab06aff02b,Government of Nepal BIPAD Portal,2014,6,17,Central Region,Dolakha,Bigu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.82349,86.22218,2154.64,1347.0,1587.0,45688.0,186557.0,86.58383767125831,1.75,12.31,21.64,96.15,5.0,1.444,4060863940,18194.2,18195.0,814.5,4.0,0.4824,69.789,2152.0,5.0,1566.0,645.0,3.959,11.1,19.977,30.76,32.499,48.56,10.783,True,True,False,True
episode-3ab0d2e7c55160cad341,Government of Nepal BIPAD Portal,2014,6,18,Far Western Region,Baitadi,Surnaya,FLOOD,1,0,0,0,0,0,0,0.0,False,29.50844,80.57647,1498.53,1565.0,543.0,45191.0,250898.0,167.42941415920936,5.44,16.95,21.56,56.36,4.0,1.139,4060840120,19506.7,19506.7,1389.6,4.0,0.0591,4.232,112.3,3.0,1370.0,340.0,5.04,6.91,11.51,16.95,14.053,21.56,5.44,True,True,False,True
episode-592822793e9d5af97d72,Government of Nepal BIPAD Portal,2014,6,18,Central Region,Mahottari,Aurahi,FLOOD,1,0,0,0,0,0,0,0.0,False,26.88482,85.81298,1004.92,105.0,73.0,111316.0,627580.0,624.5074234764957,10.1,28.56,45.67,189.15,6.0,1.59,4060901010,6457.1,6457.2,641.4,4.0,1.4485,2.65,106.7,2.0,107.0,13.0,9.375,10.1,26.68,28.56,43.64,45.67,1.88,True,True,False,True
episode-f8869dccd2b4578353e1,Government of Nepal BIPAD Portal,2014,6,19,Western Region,Gulmi,Resunga,FLOOD,0,0,0,0,0,0,0,0.0,False,28.09848,83.31058,1111.72,1154.0,370.0,64921.0,280160.0,252.00590076638002,18.69,30.67,50.76,166.34,6.0,1.709,4060905060,42541.3,42541.3,808.3,3.0,0.0294,0.202,4.0,1.0,979.0,466.0,9.56,27.73,21.063,45.19,43.082,66.75,24.127,True,True,False,True
episode-58f96b0f8a3b8ccacf16,Government of Nepal BIPAD Portal,2014,6,21,Central Region,Bara,Jitpur Simara,FLOOD,2,0,0,0,0,0,0,0.0,False,27.10642,85.06984,1277.31,114.0,64.0,108635.0,687708.0,538.4033633182235,21.64,36.26,86.79,219.2,7.0,2.561,4060909770,12984.7,12984.8,638.8,3.0,0.093,3.176,105.2,2.0,116.0,7.0,21.375,21.64,40.32,44.38,89.74,92.69,4.06,True,True,False,True
episode-9ce5a3e633543c580fc5,Government of Nepal BIPAD Portal,2014,7,5,Mid-Western Region,Surkhet,Barahtal,FLOOD,0,2,0,0,0,0,0,0.0,False,28.65047,81.50876,2495.6,1330.0,612.0,72863.0,350804.0,140.56900144253888,17.86,22.32,35.05,118.52,7.0,0.594,4060806930,13845.3,13845.7,1540.1,4.0,1.2859,0.387,13.6,1.0,951.0,312.0,16.252,21.63,26.857,40.45,69.43,121.95,13.593,True,True,False,True
episode-d008c898fbc870868ab2,Government of Nepal BIPAD Portal,2014,7,7,Mid-Western Region,Banke,Rapti Sonari,FLOOD,1,0,0,0,0,0,0,0.0,False,28.09534,81.84765,1886.48,178.0,124.0,94773.0,491313.0,260.439018701497,18.77,63.82,71.54,158.16,6.0,1.175,4060883570,25313.5,25313.6,1010.3,4.0,1.0578,1.643,78.7,2.0,189.0,27.0,10.506,18.77,60.272,64.43,90.388,106.05,4.158,True,True,False,True
