event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
desinventar-f27c1a26-c98a-4268-a63d-469015332a64,UNDRR DesInventar Nepal,1997,7,0,Eastern Region,Ilam,UNKNOWN,HEAVY RAINS,7,0,0,356,94,75,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-cdc9ccff-6bcf-4424-9527-c5eb3e8ab1a8,UNDRR DesInventar Nepal,2009,9,5,Central Region,Ramechhap,UNKNOWN,HEAVY RAINS,2,0,3,5,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-554cb305-96fa-4b9a-ba89-9228c124b044,UNDRR DesInventar Nepal,1997,8,2,Far Western Region,Bajura,UNKNOWN,HEAVY RAINS,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-a0f066ca-0f52-47a1-8d0b-64d80c4cd94d,UNDRR DesInventar Nepal,1993,7,19,Central Region,Makwanpur,PALUNG,HEAVY RAINS,60,0,0,3321,45,25,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-0b47bbfb-388c-443e-9ea5-e00ba440a9c0,UNDRR DesInventar Nepal,1993,8,22,Eastern Region,Saptari,UNKNOWN,HEAVY RAINS,0,0,0,2025,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-a18b8dab-16ec-4662-aed9-d92e336542de,UNDRR DesInventar Nepal,1974,9,2,Central Region,Kathmandu,KATHMANDU METROPOLITAN CITY,HEAVY RAINS,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-9ea4c382-896b-4a7f-a3e2-6a582f43e99c,UNDRR DesInventar Nepal,1997,8,19,Central Region,Sarlahi,UNKNOWN,HEAVY RAINS,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-4aa1d848-7941-4978-9c6e-cbda550dfdb9,UNDRR DesInventar Nepal,1971,4,21,Western Region,Tanahu,VYAS_NP_(DAMAULI),OTHER,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-264f9b47-6e8e-4d25-9a37-8e0841517f91,UNDRR DesInventar Nepal,1971,5,24,Western Region,Myagdi,RATNE_CHAUR,OTHER,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-3fd030e7-a07a-415e-abcb-54b9b30d7718,UNDRR DesInventar Nepal,1971,6,14,Central Region,Makwanpur,BHIMPHEDI,OTHER,0,0,0,0,0,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
